"spotcode","dt_bg","dt_ed","dt_validate_bg","dt_validate_ed","avg_cnt","avg_spp","avg_spl","avg_cnt_validate","avg_spp_validate","avg_spp_validate_cum","avg_spl_validate","avg_spl_validate_cum","trade_args_ids"
"159915","2024-12-30","2025-01-06","2025-01-06","2025-01-13","2.0",".0492",".0498",".0",".0000",".0000",".0000",".0000","1363,1364,1375,1376,1399,1400,1411,1412,1435,1436"
"159915","2025-01-06","2025-01-13","2025-01-13","2025-01-20","5.0",".0196",".0196","5.6",".0242",".0242",".0240",".0240","871,872,873,874,875,876,877,878,879,880"
"159915","2025-01-13","2025-01-20","2025-01-20","2025-01-27","5.0",".0631",".0639","6.6","-.0079",".0163","-.0079",".0158","5272,5273,5274,5284,5285,5286,4,5,6,16"
"159915","2025-01-20","2025-01-27","2025-01-27","2025-02-03","3.8",".0220",".0221","1.0",".0193",".0356",".0193",".0355","871,835,865,866,877,878,841,842,1180,829"
"159915","2025-01-27","2025-02-03","2025-02-03","2025-02-10","1.0",".0198",".0198","3.0",".0151",".0507",".0151",".0511","412,413,414,424,425,426,436,437,438,448"
"159915","2025-02-03","2025-02-10","2025-02-10","2025-02-17","2.9",".0530",".0538","4.4",".0258",".0765",".0259",".0783","3919,3920,3921,3916,3917,3918,3925,3922,3923,3924"
"159915","2025-02-10","2025-02-17","2025-02-17","2025-02-24","3.4",".0360",".0364","6.0",".0280",".1045",".0280",".1086","4732,4733,4734,6217,6218,6219,6229,6230,6231,4327"
"159915","2025-02-17","2025-02-24","2025-02-24","2025-03-03","6.3",".0479",".0487","5.8",".0098",".1142",".0095",".1191","4063,4064,4468,4469,4099,4100,2725,4066,4067,3130"
"159915","2025-02-24","2025-03-03","2025-03-03","2025-03-10","5.1",".0252",".0251","3.8","-.0048",".1095","-.0048",".1137","5425,418,419,431,454,455,467,490,491,503"
"159915","2025-03-03","2025-03-10","2025-03-10","2025-03-17","4.3",".0237",".0239","6.0",".0150",".1244",".0147",".1301","5131,5132,5133,1927,1928,1929,6751,6752,6753,6787"
"159915","2025-03-10","2025-03-17","2025-03-17","2025-03-24","3.8",".0329",".0331","3.4",".0119",".1364",".0119",".1435","6283,6284,6285,6297,6309,61,62,63,2908,2909"
"159915","2025-03-17","2025-03-24","2025-03-24","2025-03-31","4.2",".0209",".0210","5.3","-.0118",".1246","-.0117",".1301","6970,6971,6982,6983,5497,5326,5362,2920,2921,2932"
"159915","2025-03-24","2025-03-31","2025-03-31","2025-04-07","5.3",".0065",".0065","3.9",".0086",".1332",".0085",".1397","4075,4076,4077,4147,4148,4149,847,848,849,859"
"159915","2025-03-31","2025-04-07","2025-04-07","2025-04-14","4.0",".0233",".0235","5.1",".0890",".2222",".0904",".2427","1810,1811,1812,4234,4235,4236,4237,4238,4239,28"
"159915","2025-04-07","2025-04-14","2025-04-14","2025-04-21","5.0",".1010",".1030","4.0",".0033",".2255",".0033",".2468","1486,1487,1488,1489,1490,1491,1492,1493,1494,1498"
"159915","2025-04-14","2025-04-21","2025-04-21","2025-04-28","5.5",".0129",".0128","4.7",".0102",".2357",".0102",".2595","5292,5295,5561,6799,6800,6812,5280,5283,5266,5267"
"159915","2025-04-21","2025-04-28","2025-04-28","2025-05-05","4.4",".0258",".0259","3.0",".0029",".2387",".0029",".2632","4186,4187,4188,4591,4592,4593,3928,3929,3916,3917"
"159915","2025-04-28","2025-05-05","2025-05-05","2025-05-12","3.0",".0053",".0054","3.0",".0008",".2395",".0008",".2642","4225,4226,4227,4222,4223,4224,4237,4238,4239,2863"
"159915","2025-05-05","2025-05-12","2025-05-12","2025-05-19","3.9",".0067",".0067","5.7",".0184",".2579",".0185",".2875","4186,4187,4188,4189,4190,4191,4192,4193,4194,2431"
"159915","2025-05-12","2025-05-19","2025-05-19","2025-05-26","5.5",".0296",".0299","5.0",".0028",".2607",".0028",".2911","4393,4394,4395,4407,4419,4798,4799,4800,4812,4824"
"159915","2025-05-19","2025-05-26","2025-05-26","2025-06-02","5.0",".0106",".0105","5.0",".0221",".2827",".0223",".3198","6124,6125,6137,6160,6161,6173,4933,4934,4935,4947"
"159915","2025-05-26","2025-06-02","2025-06-02","2025-06-09","5.0",".0284",".0287","4.0","-.0121",".2706","-.0122",".3038","7327,7328,7329,7339,7340,7341,7351,7352,7353,6112"
"159915","2025-06-02","2025-06-09","2025-06-09","2025-06-16","3.3",".0104",".0105","4.4",".0061",".2767",".0061",".3117","4888,4889,4890,4891,4892,4893,4894,6751,6752,6753"
"159915","2025-06-09","2025-06-16","2025-06-16","2025-06-23","5.0",".0226",".0228","5.4",".0075",".2842",".0074",".3215","5695,6100,7315,5671,5672,5673,5685,5697,4075,3670"
