"spotcode","dt_bg","dt_ed","trade_args_ids","dt_validate_bg","dt_validate_ed","avg_cnt","avg_spp","avg_spl","avg_cnt_validate","avg_spp_validate","avg_spp_validate_cum","avg_spl_validate","avg_spl_validate_cum"
"510500","2024-12-30","2025-01-26","5425,5278,5279,5683,5684,5696,5695,5290,5291,5685","2025-01-27","2025-02-02","6.3",".0134",".0135","1.1",".0098",".0098",".0098",".0098"
"510500","2025-01-06","2025-02-02","4617,2580,4620,4740,2583,2581,2582,4616,4776,2593","2025-02-03","2025-02-09","5.9",".0166",".0170","4.5",".0240",".0338",".0240",".0340"
"510500","2025-01-13","2025-02-09","2580,2583,2582,2581,3966,3978,2765,2764,3930,3969","2025-02-10","2025-02-16","5.5",".0256",".0267","6.5","-.0015",".0322","-.0016",".0324"
"510500","2025-01-20","2025-02-16","4337,4336,4338,4191,4189,4190,4740,4728,4726,4727","2025-02-17","2025-02-23","5.2",".0197",".0203","9.7",".0034",".0356",".0032",".0358"
"510500","2025-01-27","2025-02-23","4203,4747,3136,3138,3137,4743,4191,4190,4189,4807","2025-02-24","2025-03-02","4.4",".0127",".0129","5.6",".0096",".0453",".0095",".0456"
"510500","2025-02-03","2025-03-02","4726,4727,4728,4190,4191,4189,4735,4740,4203,4377","2025-03-03","2025-03-09","6.3",".0151",".0154","6.8",".0090",".0542",".0089",".0549"
"510500","2025-02-10","2025-03-09","4727,4726,4728,4191,4189,4190,4740,7996,2164,2165","2025-03-10","2025-03-16","6.9",".0107",".0108","5.0",".0261",".0804",".0263",".0826"
"510500","2025-02-17","2025-03-16","4191,4190,4189,2709,2708,2707,4740,3383,3384,3382","2025-03-17","2025-03-23","5.9",".0165",".0169","5.1","-.0035",".0769","-.0035",".0788"
"510500","2025-02-24","2025-03-23","4738,4739,4191,4189,4190,4742,4741,4337,4336,6775","2025-03-24","2025-03-30","5.6",".0165",".0169","7.1","-.0241",".0527","-.0239",".0530"
"510500","2025-03-03","2025-03-30","320,319,332,331,6216,6215,6214,4726,4727,4728","2025-03-31","2025-04-06","5.9",".0081",".0081","6.2","-.0180",".0348","-.0179",".0342"
"510500","2025-03-10","2025-04-06","7375,7376,7388,7387,7793,7780,7781,5748,5760,5772","2025-04-07","2025-04-13","3.4",".0038",".0038","4.3",".0472",".0820",".0470",".0828"
"510500","2025-03-17","2025-04-13","690,693,691,692,677,678,676,679,680,681","2025-04-14","2025-04-20","5.1",".0245",".0250","5.4","-.0075",".0746","-.0075",".0747"
"510500","2025-03-24","2025-04-20","677,678,676,681,683,682,684,680,679,690","2025-04-21","2025-04-27","5.2",".0200",".0201","5.0",".0112",".0858",".0112",".0867"
"510500","2025-03-31","2025-04-27","2706,2705,2704,2709,2707,2708,2729,2730,2728,2731","2025-04-28","2025-05-04","4.4",".0260",".0266","2.0",".0012",".0870",".0012",".0881"
"510500","2025-04-07","2025-05-04","2706,2709,2704,2705,2707,2708,2701,2702,2703,3112","2025-05-05","2025-05-11","3.8",".0298",".0309","2.1",".0119",".0989",".0119",".1010"
"510500","2025-04-14","2025-05-11","2297,2296,2298,321,319,320,567,2300,2299,2301","2025-05-12","2025-05-18","3.3",".0067",".0067","6.0",".0035",".1024",".0034",".1048"
"510500","2025-04-21","2025-05-18","5673,5671,5672,136,138,137,5685,6090,5543,5544","2025-05-19","2025-05-25","3.6",".0101",".0103","7.3","-.0102",".0922","-.0102",".0935"
"510500","2025-04-28","2025-05-25","2989,2991,2990,2988,3170,3171,3169,423,421,422","2025-05-26","2025-06-01","2.4",".0065",".0065","3.3",".0061",".0983",".0060",".1001"
"510500","2025-05-05","2025-06-01","2988,2991,2990,2989,172,173,174,3170,3169,3171","2025-06-02","2025-06-08","3.5",".0083",".0084","2.6",".0068",".1051",".0068",".1076"
"510500","2025-05-12","2025-06-08","2977,2990,2991,2989,2979,2978,2988,2974,2976,2975","2025-06-09","2025-06-15","2.9",".0075",".0076","3.4",".0002",".1053",".0001",".1078"
"510500","2025-05-19","2025-06-15","1117,1119,1118,1487,1486,1488,38,37,39,67","2025-06-16","2025-06-22","4.3",".0072",".0073","6.0","-.0064",".0989","-.0064",".1007"
"510500","2025-05-26","2025-06-22","45,43,44,359,358,371,370,64,4558,2998","2025-06-23","2025-06-29","3.1",".0071",".0072","4.1",".0165",".1155",".0166",".1190"
"510500","2025-06-02","2025-06-29","419,418,4522,431,2461,430,422,421,6090,4511","2025-06-30","2025-07-06","4.0",".0126",".0129","3.3","-.0047",".1107","-.0047",".1137"
